"Age";"SibSp";"Parch";"Fare";"id";"cluster"
22.0;1.0;0.0;7.25;1.0;"cluster_3"
38.0;1.0;0.0;71.2833;2.0;"cluster_0"
26.0;0.0;0.0;7.925;3.0;"cluster_3"
35.0;1.0;0.0;53.1;4.0;"cluster_1"
35.0;0.0;0.0;8.05;5.0;"cluster_3"
54.0;0.0;0.0;51.8625;6.0;"cluster_1"
2.0;3.0;1.0;21.075;7.0;"cluster_3"
27.0;0.0;2.0;11.1333;8.0;"cluster_3"
14.0;1.0;0.0;30.0708;9.0;"cluster_3"
4.0;1.0;1.0;16.7;10.0;"cluster_3"
58.0;0.0;0.0;26.55;11.0;"cluster_1"
20.0;0.0;0.0;8.05;12.0;"cluster_3"
39.0;1.0;5.0;31.275;13.0;"cluster_1"
14.0;0.0;0.0;7.8542;14.0;"cluster_3"
55.0;0.0;0.0;16.0;15.0;"cluster_1"
2.0;4.0;1.0;29.125;16.0;"cluster_3"
31.0;1.0;0.0;18.0;17.0;"cluster_3"
35.0;0.0;0.0;26.0;18.0;"cluster_1"
34.0;0.0;0.0;13.0;19.0;"cluster_3"
15.0;0.0;0.0;8.0292;20.0;"cluster_3"
28.0;0.0;0.0;35.5;21.0;"cluster_1"
8.0;3.0;1.0;21.075;22.0;"cluster_3"
38.0;1.0;5.0;31.3875;23.0;"cluster_1"
19.0;3.0;2.0;263.0;24.0;"cluster_2"
40.0;0.0;0.0;27.7208;25.0;"cluster_1"
66.0;0.0;0.0;10.5;26.0;"cluster_1"
28.0;1.0;0.0;82.1708;27.0;"cluster_0"
42.0;1.0;0.0;52.0;28.0;"cluster_1"
21.0;0.0;0.0;8.05;29.0;"cluster_3"
18.0;2.0;0.0;18.0;30.0;"cluster_3"
14.0;1.0;0.0;11.2417;31.0;"cluster_3"
40.0;1.0;0.0;9.475;32.0;"cluster_3"
27.0;1.0;0.0;21.0;33.0;"cluster_3"
3.0;1.0;2.0;41.5792;34.0;"cluster_3"
19.0;0.0;0.0;7.8792;35.0;"cluster_3"
18.0;1.0;0.0;17.8;36.0;"cluster_3"
7.0;4.0;1.0;39.6875;37.0;"cluster_3"
21.0;0.0;0.0;7.8;38.0;"cluster_3"
49.0;1.0;0.0;76.7292;39.0;"cluster_0"
29.0;1.0;0.0;26.0;40.0;"cluster_3"
65.0;0.0;1.0;61.9792;41.0;"cluster_1"
21.0;0.0;0.0;10.5;42.0;"cluster_3"
28.0;0.0;0.0;7.2292;43.0;"cluster_3"
5.0;1.0;2.0;27.75;44.0;"cluster_3"
11.0;5.0;2.0;46.9;45.0;"cluster_3"
22.0;0.0;0.0;7.2292;46.0;"cluster_3"
38.0;0.0;0.0;80.0;47.0;"cluster_0"
45.0;1.0;0.0;83.475;48.0;"cluster_0"
4.0;3.0;2.0;27.9;49.0;"cluster_3"
29.0;0.0;0.0;10.5;50.0;"cluster_3"
19.0;0.0;0.0;8.1583;51.0;"cluster_3"
17.0;4.0;2.0;7.925;52.0;"cluster_3"
26.0;2.0;0.0;8.6625;53.0;"cluster_3"
32.0;0.0;0.0;10.5;54.0;"cluster_3"
16.0;5.0;2.0;46.9;55.0;"cluster_1"
21.0;0.0;0.0;73.5;56.0;"cluster_0"
26.0;1.0;0.0;14.4542;57.0;"cluster_3"
32.0;0.0;0.0;56.4958;58.0;"cluster_1"
25.0;0.0;0.0;7.65;59.0;"cluster_3"
0.0;0.0;2.0;29.0;60.0;"cluster_3"
30.0;0.0;0.0;12.475;61.0;"cluster_3"
22.0;0.0;0.0;9.0;62.0;"cluster_3"
29.0;0.0;0.0;9.5;63.0;"cluster_3"
28.0;0.0;0.0;47.1;64.0;"cluster_1"
17.0;0.0;0.0;10.5;65.0;"cluster_3"
33.0;3.0;0.0;15.85;66.0;"cluster_3"
16.0;1.0;3.0;34.375;67.0;"cluster_3"
23.0;3.0;2.0;263.0;68.0;"cluster_2"
24.0;0.0;0.0;8.05;69.0;"cluster_3"
29.0;0.0;0.0;8.05;70.0;"cluster_3"
20.0;0.0;0.0;7.8542;71.0;"cluster_3"
46.0;1.0;0.0;61.175;72.0;"cluster_1"
26.0;1.0;2.0;20.575;73.0;"cluster_3"
59.0;0.0;0.0;7.25;74.0;"cluster_1"
71.0;0.0;0.0;34.6542;75.0;"cluster_1"
23.0;0.0;1.0;63.3583;76.0;"cluster_0"
34.0;0.0;1.0;23.0;77.0;"cluster_1"
34.0;1.0;0.0;26.0;78.0;"cluster_1"
28.0;0.0;0.0;7.8958;79.0;"cluster_3"
21.0;0.0;1.0;77.2875;80.0;"cluster_0"
33.0;0.0;0.0;8.6542;81.0;"cluster_3"
37.0;2.0;0.0;7.925;82.0;"cluster_3"
28.0;0.0;0.0;7.8958;83.0;"cluster_3"
21.0;0.0;0.0;7.65;84.0;"cluster_3"
38.0;0.0;0.0;7.8958;85.0;"cluster_3"
47.0;0.0;0.0;52.0;86.0;"cluster_1"
14.0;1.0;0.0;14.4542;87.0;"cluster_3"
22.0;0.0;0.0;8.05;88.0;"cluster_3"
20.0;1.0;0.0;9.825;89.0;"cluster_3"
17.0;0.0;0.0;14.4583;90.0;"cluster_3"
21.0;0.0;0.0;7.925;91.0;"cluster_3"
70.0;0.0;0.0;7.75;92.0;"cluster_1"
29.0;1.0;0.0;21.0;93.0;"cluster_3"
24.0;0.0;1.0;247.5208;94.0;"cluster_2"
2.0;4.0;2.0;31.275;95.0;"cluster_3"
21.0;2.0;0.0;73.5;96.0;"cluster_0"
32.0;1.0;0.0;30.0708;97.0;"cluster_1"
32.0;0.0;0.0;13.0;98.0;"cluster_3"
54.0;0.0;1.0;77.2875;99.0;"cluster_0"
12.0;1.0;0.0;11.2417;100.0;"cluster_3"
24.0;0.0;0.0;7.1417;101.0;"cluster_3"
45.0;0.0;0.0;6.975;102.0;"cluster_1"
33.0;0.0;0.0;7.8958;103.0;"cluster_3"
20.0;0.0;0.0;7.05;104.0;"cluster_3"
47.0;1.0;0.0;14.5;105.0;"cluster_1"
29.0;1.0;0.0;26.0;106.0;"cluster_3"
25.0;0.0;0.0;13.0;107.0;"cluster_3"
23.0;0.0;0.0;15.0458;108.0;"cluster_3"
19.0;0.0;2.0;26.2833;109.0;"cluster_3"
37.0;1.0;0.0;53.1;110.0;"cluster_1"
16.0;0.0;0.0;9.2167;111.0;"cluster_3"
24.0;0.0;0.0;79.2;112.0;"cluster_0"
22.0;0.0;0.0;7.75;113.0;"cluster_3"
24.0;1.0;0.0;15.85;114.0;"cluster_3"
19.0;0.0;0.0;6.75;115.0;"cluster_3"
18.0;0.0;0.0;11.5;116.0;"cluster_3"
19.0;1.0;1.0;36.75;117.0;"cluster_3"
27.0;0.0;0.0;7.7958;118.0;"cluster_3"
